Landsat 5 Thematic Mapper (TM) NLAPS-processed scenes		
Path	Row	Date
002	075	15-May-85
002	068	16-Jun-85
002	074	18-Jul-85
002	075	16-Jun-85
003	072	15-Feb-85
005	071	21-Jun-85
005	071	17-Mar-85
005	071	20-May-85
004	072	29-May-85
006	028	12-Aug-84
006	070	20-Feb-85
008	068	07-Apr-85
007	071	03-Jun-85
008	068	25-May-85
009	067	01-Jun-85
010	065	16-Feb-85
010	065	05-Apr-85
010	065	08-Jun-85
011	048	30-Jul-84
011	066	15-Jun-85
011	064	14-May-85
012	044	21-May-85
012	045	21-May-85
012	046	21-May-85
012	055	21-May-85
012	045	06-Aug-84
013	031	14-Sep-84
014	041	22-Jul-85
014	043	22-Jul-85
014	042	06-Jul-85
014	044	04-Jun-85
015	046	19-Feb-85
015	043	11-Jun-85
016	060	30-Mar-85
016	045	08-Dec-84
017	045	15-Dec-84
018	062	31-May-85
018	061	18-Jul-85
018	040	31-May-85
019	040	22-Jul-84
020	040	10-Mar-85
020	046	22-Feb-85
021	045	17-Mar-85
021	043	20-Jul-84
023	043	18-Jul-84
023	040	18-May-85
024	028	10-Jun-85
024	029	10-Jun-85
024	031	10-Jun-85
024	030	10-Jun-85
024	032	10-Jun-85
024	033	10-Jun-85
024	035	10-Jun-85
024	034	10-Jun-85
024	022	10-Jun-85
025	022	16-May-85
025	021	16-May-85
025	023	16-May-85
025	040	16-May-85
025	040	13-Mar-85
026	042	20-Mar-85
027	042	05-Dec-84
028	037	25-Aug-85
028	037	08-Jul-85
030	047	19-May-85
030	039	28-Feb-85
031	037	26-May-85
032	036	10-Feb-85
032	039	04-Jul-85
034	037	24-Feb-85
034	038	15-May-85
034	031	18-Jul-85
034	032	18-Jul-85
034	033	18-Jul-85
034	034	18-Jul-85
034	035	18-Jul-85
034	036	18-Jul-85
034	037	18-Jul-85
034	038	18-Jul-85
036	038	13-May-85
036	209	29-Jul-84
036	210	29-Jul-84
036	211	29-Jul-84
036	212	29-Jul-84
036	213	29-Jul-84
036	214	29-Jul-84
036	215	29-Jul-84
036	216	29-Jul-84
036	217	29-Jul-84
036	218	29-Jul-84
036	219	29-Jul-84
036	227	29-Jul-84
036	228	29-Jul-84
036	229	29-Jul-84
036	230	29-Jul-84
036	232	29-Jul-84
036	222	29-Jul-84
036	223	29-Jul-84
036	224	29-Jul-84
036	225	29-Jul-84
036	226	29-Jul-84
039	037	05-Jul-85
039	038	18-May-85
040	037	06-Mar-85
042	037	04-Mar-85
043	036	27-Mar-85
043	036	30-May-85
043	036	28-Apr-85
045	034	13-Aug-84
048	022	18-Jun-85
048	027	04-Jul-85
060	024	03-Apr-85
057	022	17-Jun-85
057	024	17-Jun-85
055	028	18-May-85
062	028	04-Jun-85
062	021	16-Mar-85
066	020	18-Jul-85
060	028	21-May-85
056	028	25-May-85
071	020	03-Jun-85
070	020	28-Jun-85
077	014	12-May-85
073	015	16-May-85
073	018	17-Jun-85
077	013	13-Jun-85
077	010	13-Jun-85
077	015	13-Jun-85
077	012	13-Jun-85
077	014	13-Jun-85
077	011	13-Jun-85
077	016	13-Jun-85
068	006	29-Jul-84
072	019	10-Jun-85
072	020	10-Jun-85
074	018	08-Jun-85
074	018	24-Jun-85
076	015	21-May-85
076	017	06-Jun-85
076	017	22-Jun-85
080	012	17-May-85
080	011	17-May-85
080	015	02-Jun-85
137	208	02-Aug-84
137	209	02-Aug-84
137	216	02-Aug-84
137	210	02-Aug-84
137	211	02-Aug-84
137	217	02-Aug-84
137	212	02-Aug-84
137	213	02-Aug-84
137	218	02-Aug-84
137	214	02-Aug-84
137	206	02-Aug-84
137	215	02-Aug-84
137	207	02-Aug-84
138	218	24-Jul-84
138	212	24-Jul-84
138	207	24-Jul-84
138	213	24-Jul-84
138	208	24-Jul-84
138	214	24-Jul-84
138	215	24-Jul-84
138	209	24-Jul-84
138	216	24-Jul-84
138	210	24-Jul-84
138	217	24-Jul-84
138	211	24-Jul-84
138	218	09-Aug-84
138	212	09-Aug-84
138	207	09-Aug-84
138	213	09-Aug-84
138	208	09-Aug-84
138	214	09-Aug-84
138	215	09-Aug-84
138	209	09-Aug-84
138	216	09-Aug-84
138	210	09-Aug-84
138	217	09-Aug-84
138	211	09-Aug-84
131	213	08-Aug-84
131	208	08-Aug-84
131	214	08-Aug-84
131	209	08-Aug-84
131	215	08-Aug-84
131	205	08-Aug-84
131	210	08-Aug-84
131	216	08-Aug-84
131	206	08-Aug-84
131	211	08-Aug-84
131	207	08-Aug-84
131	217	08-Aug-84
131	212	08-Aug-84
131	218	08-Aug-84
131	213	16-Feb-85
131	208	16-Feb-85
131	214	16-Feb-85
131	209	16-Feb-85
131	215	16-Feb-85
131	210	16-Feb-85
131	216	16-Feb-85
131	206	16-Feb-85
131	211	16-Feb-85
131	217	16-Feb-85
131	207	16-Feb-85
131	212	16-Feb-85
131	218	16-Feb-85
135	206	19-Jul-84
